time	live	death
0	40	0
2	40	0
4	40	0
6	45	0
8	48	0
10	54	1
12	57	2
14	67	3
16	73	6
18	83	6
20	98	9
22	115	11
24	130	14
26	155	17
28	166	22
30	189	26
32	216	34
34	236	43
36	254	59
38	271	73
40	303	86
42	334	105
44	371	125
46	392	152
48	407	177
50	434	205
52	474	236
54	486	277
56	503	321
58	496	375
60	500	425
62	492	479
64	481	542
66	456	610
68	447	663
70	434	717
72	428	765
74	403	824
76	387	871
78	362	930
80	332	992
82	293	1053
84	281	1086
86	259	1122
88	235	1166
90	206	1207
92	176	1254
94	155	1291
96	142	1313
98	133	1332
100	115	1353
102	104	1372
104	89	1392
106	80	1406
108	64	1425
110	50	1440
112	44	1448
114	31	1462
116	24	1470
118	20	1477
120	16	1481
122	10	1487
124	9	1488
126	3	1494
128	3	1494
130	4	1494
132	4	1494
134	3	1495
136	3	1495
138	2	1496
140	1	1497
142	1	1497
144	1	1497
146	1	1497
148	1	1497
150	0	1498
152	0	1498
154	0	1498
156	0	1498
158	0	1498
160	0	1498
162	0	1498
164	0	1498
166	0	1498
168	0	1498
170	0	1498
172	0	1498
174	0	1498
176	0	1498
178	0	1498
180	0	1498
182	0	1498
184	0	1498
186	0	1498
188	0	1498
190	0	1498
192	0	1498
194	0	1498
196	0	1498
198	0	1498
200	0	1498
202	0	1498
204	0	1498
206	0	1498
208	0	1498
210	0	1498
212	0	1498
214	0	1498
216	0	1498
218	0	1498
220	0	1498
222	0	1498
224	0	1498
226	0	1498
228	0	1498
230	0	1498
232	0	1498
234	0	1498
236	0	1498
238	0	1498
240	0	1498
242	0	1498
244	0	1498
246	0	1498
248	0	1498
250	0	1498
252	0	1498
254	0	1498
256	0	1498
258	0	1498
260	0	1498
262	0	1498
264	0	1498
266	0	1498
268	0	1498
270	0	1498
272	0	1498
274	0	1498
276	0	1498
278	0	1498
280	0	1498
282	0	1498
284	0	1498
286	0	1498
288	0	1498
290	0	1498
292	0	1498
294	0	1498
296	0	1498
298	0	1498
