time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	149	0
16	149	0
18	146	3
20	146	3
22	175	4
24	232	7
26	241	9
28	242	12
30	241	14
32	247	20
34	263	27
36	262	40
38	265	48
40	266	55
42	260	64
44	259	77
46	257	88
48	253	99
50	256	107
52	245	122
54	241	129
56	234	139
58	222	152
60	208	170
62	196	186
64	196	192
66	184	205
68	182	210
70	171	221
72	163	231
74	152	243
76	146	249
78	137	258
80	126	270
82	124	273
84	121	278
86	117	282
88	114	286
90	106	294
92	103	297
94	99	301
96	94	307
98	89	312
100	83	318
102	77	324
104	73	328
106	69	332
108	64	337
110	64	337
112	55	346
114	50	351
116	50	351
118	48	353
120	47	354
122	42	359
124	40	361
126	37	364
128	36	365
130	31	370
132	30	371
134	27	374
136	23	378
138	22	379
140	20	381
142	20	381
144	19	382
146	18	383
148	16	385
150	14	387
152	13	388
154	12	389
156	12	389
158	11	390
160	10	391
162	9	392
164	9	392
166	9	392
168	9	392
170	9	392
172	8	393
174	8	393
176	8	393
178	8	393
180	7	394
182	7	394
184	7	394
186	7	394
188	7	394
190	5	396
192	5	396
194	4	397
196	3	398
198	3	398
200	3	398
202	3	398
204	2	399
206	2	399
208	2	399
210	2	399
212	2	399
214	2	399
216	2	399
218	2	399
220	2	399
222	2	399
224	2	399
226	2	399
228	2	399
230	2	399
232	2	399
234	2	399
236	2	399
238	2	399
240	2	399
242	2	399
244	2	399
246	2	399
248	2	399
250	2	399
252	2	399
254	2	399
256	2	399
258	2	399
260	1	400
262	1	400
264	1	400
266	1	400
268	1	400
270	1	400
272	1	400
274	1	400
276	1	400
278	1	400
280	1	400
282	1	400
284	1	400
286	0	401
288	0	401
290	0	401
292	0	401
294	0	401
296	0	401
298	0	401
