time	gene0	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10
0	40	0	0	0	0	0	0	0	0	0	0
2	40	0	0	0	0	0	0	0	0	0	0
4	40	0	0	0	0	0	0	0	0	0	0
6	35	10	0	0	0	0	0	0	0	0	0
8	32	16	0	0	0	0	0	0	0	0	0
10	27	23	4	0	0	0	0	0	0	0	0
12	25	25	7	0	0	0	0	0	0	0	0
14	20	29	18	0	0	0	0	0	0	0	0
16	15	35	23	0	0	0	0	0	0	0	0
18	11	41	23	8	0	0	0	0	0	0	0
20	9	34	39	16	0	0	0	0	0	0	0
22	3	39	46	27	0	0	0	0	0	0	0
24	1	33	59	35	2	0	0	0	0	0	0
26	0	25	67	52	11	0	0	0	0	0	0
28	0	23	60	67	16	0	0	0	0	0	0
30	0	18	59	74	34	4	0	0	0	0	0
32	0	9	64	82	56	5	0	0	0	0	0
34	0	5	60	86	76	9	0	0	0	0	0
36	0	4	48	99	81	22	0	0	0	0	0
38	0	2	44	95	101	29	0	0	0	0	0
40	0	2	24	118	107	52	0	0	0	0	0
42	0	2	18	97	137	78	2	0	0	0	0
44	0	1	16	76	161	103	14	0	0	0	0
46	0	1	12	66	163	124	26	0	0	0	0
48	0	1	8	58	171	135	34	0	0	0	0
50	0	1	5	46	168	173	41	0	0	0	0
52	0	0	6	30	159	210	69	0	0	0	0
54	0	0	4	20	147	231	84	0	0	0	0
56	0	0	0	18	125	251	107	2	0	0	0
58	0	0	0	16	96	241	141	2	0	0	0
60	0	0	0	9	86	232	169	4	0	0	0
62	0	0	0	6	70	213	193	10	0	0	0
64	0	0	0	2	54	199	209	17	0	0	0
66	0	0	0	0	44	174	209	29	0	0	0
68	0	0	0	0	31	154	219	43	0	0	0
70	0	0	0	0	22	127	247	38	0	0	0
72	0	0	0	0	15	100	258	55	0	0	0
74	0	0	0	0	9	85	242	67	0	0	0
76	0	0	0	0	6	70	237	74	0	0	0
78	0	0	0	0	4	47	229	82	0	0	0
80	0	0	0	0	3	37	185	101	6	0	0
82	0	0	0	0	3	25	146	112	7	0	0
84	0	0	0	0	1	23	127	123	7	0	0
86	0	0	0	0	0	19	106	125	9	0	0
88	0	0	0	0	0	7	89	130	9	0	0
90	0	0	0	0	0	6	68	120	12	0	0
92	0	0	0	0	0	3	47	114	12	0	0
94	0	0	0	0	0	1	33	107	14	0	0
96	0	0	0	0	0	1	24	93	24	0	0
98	0	0	0	0	0	0	18	89	26	0	0
100	0	0	0	0	0	0	13	76	26	0	0
102	0	0	0	0	0	0	6	71	27	0	0
104	0	0	0	0	0	0	4	52	33	0	0
106	0	0	0	0	0	0	3	39	38	0	0
108	0	0	0	0	0	0	3	26	35	0	0
110	0	0	0	0	0	0	3	18	29	0	0
112	0	0	0	0	0	0	2	15	27	0	0
114	0	0	0	0	0	0	0	11	20	0	0
116	0	0	0	0	0	0	0	7	17	0	0
118	0	0	0	0	0	0	0	3	17	0	0
120	0	0	0	0	0	0	0	3	13	0	0
122	0	0	0	0	0	0	0	2	8	0	0
124	0	0	0	0	0	0	0	1	8	0	0
126	0	0	0	0	0	0	0	1	2	0	0
128	0	0	0	0	0	0	0	1	2	0	0
130	0	0	0	0	0	0	0	0	4	0	0
132	0	0	0	0	0	0	0	0	4	0	0
134	0	0	0	0	0	0	0	0	3	0	0
136	0	0	0	0	0	0	0	0	3	0	0
138	0	0	0	0	0	0	0	0	2	0	0
140	0	0	0	0	0	0	0	0	1	0	0
142	0	0	0	0	0	0	0	0	1	0	0
144	0	0	0	0	0	0	0	0	1	0	0
146	0	0	0	0	0	0	0	0	1	0	0
148	0	0	0	0	0	0	0	0	1	0	0
150	0	0	0	0	0	0	0	0	0	0	0
152	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	0	0	0	0	0	0	0	0
158	0	0	0	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	0	0	0
164	0	0	0	0	0	0	0	0	0	0	0
166	0	0	0	0	0	0	0	0	0	0	0
168	0	0	0	0	0	0	0	0	0	0	0
170	0	0	0	0	0	0	0	0	0	0	0
172	0	0	0	0	0	0	0	0	0	0	0
174	0	0	0	0	0	0	0	0	0	0	0
176	0	0	0	0	0	0	0	0	0	0	0
178	0	0	0	0	0	0	0	0	0	0	0
180	0	0	0	0	0	0	0	0	0	0	0
182	0	0	0	0	0	0	0	0	0	0	0
184	0	0	0	0	0	0	0	0	0	0	0
