time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	155	0
16	160	0
18	160	0
20	160	0
22	174	2
24	234	6
26	265	8
28	280	10
30	278	12
32	276	24
34	288	35
36	301	45
38	300	64
40	301	72
42	302	87
44	313	97
46	320	105
48	320	127
50	314	145
52	315	157
54	321	170
56	318	187
58	313	205
60	317	221
62	314	234
64	307	252
66	308	264
68	305	281
70	292	298
72	279	319
74	271	340
76	267	352
78	250	377
80	242	394
82	235	411
84	234	428
86	222	448
88	215	462
90	207	478
92	205	489
94	192	508
96	183	522
98	181	531
100	176	543
102	175	553
104	162	571
106	153	586
108	152	592
110	152	602
112	142	615
114	137	628
116	135	634
118	122	649
120	108	664
122	104	672
124	103	678
126	102	685
128	96	694
130	92	703
132	90	708
134	82	718
136	75	727
138	63	742
140	65	746
142	64	750
144	60	756
146	57	761
148	57	764
150	56	766
152	55	768
154	53	773
156	46	781
158	45	785
160	45	788
162	43	791
164	42	793
166	40	795
168	38	798
170	36	800
172	38	802
174	38	805
176	35	808
178	31	814
180	29	816
182	29	818
184	27	822
186	28	822
188	25	826
190	22	829
192	23	829
194	19	833
196	19	835
198	17	837
200	16	838
202	15	840
204	13	842
206	13	842
208	12	843
210	12	843
212	12	843
214	13	843
216	14	843
218	14	843
220	14	843
222	14	843
224	14	843
226	12	845
228	12	845
230	12	845
232	12	845
234	12	845
236	10	847
238	10	847
240	10	847
242	8	849
244	8	849
246	8	849
248	8	849
250	6	851
252	6	851
254	6	851
256	6	851
258	5	852
260	5	852
262	3	854
264	3	854
266	3	854
268	3	854
270	3	854
272	3	854
274	3	854
276	3	854
278	3	854
280	2	855
282	0	857
284	0	857
286	0	857
288	0	857
290	0	857
292	0	857
294	0	857
296	0	857
298	0	857
