time	live	death
0	10000	0
2	10000	0
4	10000	0
6	10000	0
8	10000	0
10	10000	0
12	10000	0
14	10000	0
16	9999	1
18	9997	3
20	9992	8
22	9985	15
24	9966	34
26	9949	51
28	9905	95
30	9842	158
32	9728	272
34	9589	411
36	9394	606
38	9158	842
40	8856	1144
42	8533	1467
44	8186	1814
46	7761	2239
48	7336	2664
50	6811	3189
52	6352	3648
54	5879	4121
56	5415	4585
58	4965	5035
60	4550	5450
62	4109	5891
64	3730	6270
66	3347	6653
68	3009	6991
70	2726	7274
72	2449	7551
74	2179	7821
76	1932	8068
78	1704	8296
80	1493	8507
82	1328	8672
84	1178	8822
86	1030	8970
88	921	9079
90	807	9193
92	701	9299
94	625	9375
96	536	9464
98	465	9535
100	409	9591
102	349	9651
104	306	9694
106	267	9733
108	227	9773
110	188	9812
112	157	9843
114	138	9862
116	121	9879
118	95	9905
120	84	9916
122	70	9930
124	60	9940
126	56	9944
128	46	9954
130	35	9965
132	28	9972
134	25	9975
136	23	9977
138	18	9982
140	17	9983
142	14	9986
144	12	9988
146	8	9992
148	7	9993
150	7	9993
152	6	9994
154	5	9995
156	4	9996
158	4	9996
160	4	9996
162	4	9996
164	4	9996
166	3	9997
168	3	9997
170	2	9998
172	2	9998
174	2	9998
176	2	9998
178	1	9999
180	1	9999
182	1	9999
184	1	9999
186	1	9999
188	1	9999
190	0	10000
192	0	10000
194	0	10000
196	0	10000
198	0	10000
200	0	10000
202	0	10000
204	0	10000
206	0	10000
208	0	10000
210	0	10000
212	0	10000
214	0	10000
216	0	10000
218	0	10000
220	0	10000
222	0	10000
224	0	10000
226	0	10000
228	0	10000
230	0	10000
232	0	10000
234	0	10000
236	0	10000
238	0	10000
240	0	10000
242	0	10000
244	0	10000
246	0	10000
248	0	10000
250	0	10000
252	0	10000
254	0	10000
256	0	10000
258	0	10000
260	0	10000
262	0	10000
264	0	10000
266	0	10000
268	0	10000
270	0	10000
272	0	10000
274	0	10000
276	0	10000
278	0	10000
280	0	10000
282	0	10000
284	0	10000
286	0	10000
288	0	10000
290	0	10000
292	0	10000
294	0	10000
296	0	10000
298	0	10000
300	0	10000
302	0	10000
304	0	10000
306	0	10000
308	0	10000
310	0	10000
312	0	10000
314	0	10000
316	0	10000
318	0	10000
320	0	10000
322	0	10000
324	0	10000
326	0	10000
328	0	10000
330	0	10000
332	0	10000
334	0	10000
336	0	10000
338	0	10000
340	0	10000
342	0	10000
344	0	10000
346	0	10000
348	0	10000
350	0	10000
352	0	10000
354	0	10000
356	0	10000
358	0	10000
360	0	10000
362	0	10000
364	0	10000
366	0	10000
368	0	10000
370	0	10000
372	0	10000
374	0	10000
376	0	10000
378	0	10000
380	0	10000
382	0	10000
384	0	10000
386	0	10000
388	0	10000
390	0	10000
392	0	10000
394	0	10000
396	0	10000
398	0	10000
400	0	10000
402	0	10000
404	0	10000
406	0	10000
408	0	10000
410	0	10000
412	0	10000
414	0	10000
416	0	10000
418	0	10000
420	0	10000
422	0	10000
424	0	10000
426	0	10000
428	0	10000
430	0	10000
432	0	10000
434	0	10000
436	0	10000
438	0	10000
440	0	10000
442	0	10000
444	0	10000
446	0	10000
448	0	10000
450	0	10000
452	0	10000
454	0	10000
456	0	10000
458	0	10000
460	0	10000
462	0	10000
464	0	10000
466	0	10000
468	0	10000
470	0	10000
472	0	10000
474	0	10000
476	0	10000
478	0	10000
480	0	10000
482	0	10000
484	0	10000
486	0	10000
488	0	10000
490	0	10000
492	0	10000
494	0	10000
496	0	10000
498	0	10000
500	0	10000
502	0	10000
504	0	10000
506	0	10000
508	0	10000
510	0	10000
512	0	10000
514	0	10000
516	0	10000
518	0	10000
520	0	10000
522	0	10000
524	0	10000
526	0	10000
528	0	10000
530	0	10000
532	0	10000
534	0	10000
536	0	10000
538	0	10000
540	0	10000
542	0	10000
544	0	10000
546	0	10000
548	0	10000
550	0	10000
552	0	10000
554	0	10000
556	0	10000
558	0	10000
560	0	10000
562	0	10000
564	0	10000
566	0	10000
568	0	10000
570	0	10000
572	0	10000
574	0	10000
576	0	10000
578	0	10000
580	0	10000
582	0	10000
584	0	10000
586	0	10000
588	0	10000
590	0	10000
592	0	10000
594	0	10000
596	0	10000
598	0	10000
600	0	10000
602	0	10000
604	0	10000
606	0	10000
608	0	10000
610	0	10000
612	0	10000
614	0	10000
616	0	10000
618	0	10000
620	0	10000
622	0	10000
624	0	10000
626	0	10000
628	0	10000
630	0	10000
632	0	10000
634	0	10000
636	0	10000
638	0	10000
640	0	10000
642	0	10000
644	0	10000
646	0	10000
648	0	10000
650	0	10000
652	0	10000
654	0	10000
656	0	10000
658	0	10000
660	0	10000
662	0	10000
664	0	10000
666	0	10000
668	0	10000
670	0	10000
672	0	10000
674	0	10000
676	0	10000
678	0	10000
680	0	10000
682	0	10000
684	0	10000
686	0	10000
688	0	10000
690	0	10000
692	0	10000
694	0	10000
696	0	10000
698	0	10000
700	0	10000
702	0	10000
704	0	10000
706	0	10000
708	0	10000
710	0	10000
712	0	10000
714	0	10000
716	0	10000
718	0	10000
720	0	10000
722	0	10000
724	0	10000
726	0	10000
728	0	10000
730	0	10000
732	0	10000
734	0	10000
736	0	10000
738	0	10000
740	0	10000
742	0	10000
744	0	10000
746	0	10000
748	0	10000
750	0	10000
752	0	10000
754	0	10000
756	0	10000
758	0	10000
760	0	10000
762	0	10000
764	0	10000
766	0	10000
768	0	10000
770	0	10000
772	0	10000
774	0	10000
776	0	10000
778	0	10000
780	0	10000
782	0	10000
784	0	10000
786	0	10000
788	0	10000
790	0	10000
792	0	10000
794	0	10000
796	0	10000
798	0	10000
800	0	10000
802	0	10000
804	0	10000
806	0	10000
808	0	10000
810	0	10000
812	0	10000
814	0	10000
816	0	10000
818	0	10000
820	0	10000
822	0	10000
824	0	10000
826	0	10000
828	0	10000
830	0	10000
832	0	10000
834	0	10000
836	0	10000
838	0	10000
840	0	10000
842	0	10000
844	0	10000
846	0	10000
848	0	10000
850	0	10000
852	0	10000
854	0	10000
856	0	10000
858	0	10000
860	0	10000
862	0	10000
864	0	10000
866	0	10000
868	0	10000
870	0	10000
872	0	10000
874	0	10000
876	0	10000
878	0	10000
880	0	10000
882	0	10000
884	0	10000
886	0	10000
888	0	10000
890	0	10000
892	0	10000
894	0	10000
896	0	10000
898	0	10000
900	0	10000
902	0	10000
904	0	10000
906	0	10000
908	0	10000
910	0	10000
