time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	145	0
16	158	0
18	157	1
20	157	1
22	182	2
24	233	5
26	255	7
28	263	10
30	265	13
32	266	19
34	277	29
36	276	48
38	280	59
40	279	71
42	274	89
44	266	103
46	264	116
48	257	137
50	242	155
52	227	177
54	219	191
56	197	214
58	189	227
60	180	242
62	174	253
64	169	264
66	159	276
68	151	288
70	138	301
72	127	312
74	119	320
76	111	330
78	109	334
80	100	344
82	91	353
84	83	362
86	78	367
88	73	373
90	66	381
92	59	388
94	52	396
96	47	402
98	46	403
100	43	406
102	39	410
104	35	415
106	32	418
108	26	424
110	23	427
112	22	428
114	21	429
116	20	430
118	18	432
120	17	433
122	16	434
124	14	436
126	13	437
128	13	437
130	13	437
132	12	438
134	8	442
136	7	443
138	6	444
140	4	446
142	4	446
144	4	446
146	3	447
148	3	447
150	3	447
152	3	447
154	3	447
156	2	448
158	1	449
160	1	449
162	1	449
164	1	449
166	1	449
168	1	449
170	1	449
172	1	449
174	1	449
176	1	449
178	1	449
180	1	449
182	0	450
184	0	450
186	0	450
188	0	450
190	0	450
192	0	450
194	0	450
196	0	450
198	0	450
200	0	450
202	0	450
204	0	450
206	0	450
208	0	450
210	0	450
212	0	450
214	0	450
216	0	450
218	0	450
220	0	450
222	0	450
224	0	450
226	0	450
228	0	450
230	0	450
232	0	450
234	0	450
236	0	450
238	0	450
240	0	450
242	0	450
244	0	450
246	0	450
248	0	450
250	0	450
252	0	450
254	0	450
256	0	450
258	0	450
260	0	450
262	0	450
264	0	450
266	0	450
268	0	450
270	0	450
272	0	450
274	0	450
276	0	450
278	0	450
280	0	450
282	0	450
284	0	450
286	0	450
288	0	450
290	0	450
292	0	450
294	0	450
296	0	450
298	0	450
