time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	153	0
16	158	0
18	158	0
20	158	0
22	217	2
24	263	4
26	275	7
28	274	9
30	277	13
32	296	19
34	328	29
36	348	35
38	353	45
40	359	51
42	364	61
44	362	76
46	364	96
48	356	119
50	349	137
52	344	154
54	346	168
56	342	185
58	332	201
60	318	221
62	298	245
64	282	266
66	268	288
68	257	306
70	244	323
72	227	342
74	221	355
76	214	365
78	207	374
80	195	386
82	183	398
84	169	412
86	158	424
88	146	436
90	129	453
92	122	460
94	116	467
96	103	481
98	93	491
100	83	501
102	75	509
104	72	512
106	65	519
108	56	528
110	50	534
112	46	538
114	44	541
116	44	541
118	41	544
120	38	547
122	35	550
124	36	550
126	36	550
128	33	553
130	31	555
132	29	557
134	28	558
136	27	559
138	25	561
140	24	562
142	23	563
144	21	565
146	19	567
148	17	569
150	16	570
152	15	571
154	15	571
156	14	572
158	14	572
160	13	573
162	13	573
164	13	573
166	13	573
168	13	573
170	13	573
172	13	573
174	13	573
176	13	573
178	11	575
180	10	576
182	9	577
184	8	578
186	8	578
188	8	578
190	8	578
192	8	578
194	8	578
196	8	578
198	8	578
200	8	578
202	8	578
204	8	578
206	7	579
208	7	579
210	7	579
212	7	579
214	7	579
216	7	579
218	7	579
220	7	579
222	7	579
224	6	580
226	6	580
228	5	581
230	5	581
232	5	581
234	5	581
236	5	581
238	5	581
240	5	581
242	5	581
244	5	581
246	5	581
248	5	581
250	5	581
252	5	581
254	5	581
256	5	581
258	5	581
260	5	581
262	5	581
264	5	581
266	4	582
268	4	582
270	4	582
272	4	582
274	4	582
276	4	582
278	4	582
280	4	582
282	3	583
284	3	583
286	3	583
288	3	583
290	3	583
292	3	583
294	3	583
296	3	583
298	3	583
