time	live	death
0	80	0
2	80	0
4	81	0
6	83	0
8	85	0
10	87	0
12	87	0
14	87	0
16	88	0
18	92	0
20	94	0
22	98	0
24	105	0
26	109	0
28	113	0
30	118	0
32	127	0
34	134	0
36	142	0
38	153	0
40	163	0
42	172	0
44	175	0
46	185	1
48	197	1
50	213	1
52	227	3
54	245	4
56	259	4
58	270	6
60	282	8
62	300	11
64	312	12
66	336	15
68	356	17
70	376	21
72	403	23
74	419	26
76	439	32
78	459	38
80	483	44
82	501	55
84	524	64
86	545	70
88	573	80
90	586	89
92	607	101
94	621	117
96	658	125
98	690	140
100	700	158
102	741	168
104	759	188
106	775	210
108	782	231
110	794	253
112	813	273
114	811	305
116	813	342
118	815	368
120	810	402
122	804	440
124	812	469
126	813	502
128	815	528
130	815	561
132	811	602
134	803	643
136	793	683
138	783	722
140	760	769
142	745	811
144	737	852
146	716	899
148	706	935
150	688	978
152	658	1025
154	649	1058
156	626	1097
158	622	1119
160	593	1168
162	573	1207
164	562	1238
166	545	1275
168	525	1308
170	503	1343
172	481	1376
174	447	1427
176	413	1469
178	397	1499
180	374	1533
182	365	1557
184	340	1587
186	326	1610
188	305	1638
190	282	1666
192	266	1689
194	244	1717
196	228	1737
198	204	1761
