time	live	death
0	40	0
2	42	0
4	46	0
6	50	0
8	58	0
10	70	0
12	81	0
14	100	0
16	122	0
18	150	0
20	183	0
22	222	2
24	257	4
26	321	6
28	404	11
30	479	22
32	565	31
34	643	52
36	734	81
38	817	122
40	917	162
42	985	218
44	1056	289
46	1095	382
48	1119	478
50	1149	590
52	1162	700
54	1139	844
56	1081	998
58	1000	1159
60	931	1299
62	861	1431
64	779	1563
66	691	1689
68	586	1819
70	496	1931
72	409	2036
74	334	2123
76	277	2187
78	232	2243
80	182	2298
82	164	2321
84	124	2364
86	91	2401
88	70	2423
90	46	2448
92	39	2456
94	32	2463
96	20	2475
98	12	2483
100	10	2485
102	8	2487
104	5	2490
106	5	2490
108	2	2493
110	1	2494
112	0	2495
114	0	2495
116	0	2495
118	0	2495
120	0	2495
122	0	2495
124	0	2495
126	0	2495
128	0	2495
130	0	2495
132	0	2495
134	0	2495
136	0	2495
138	0	2495
140	0	2495
142	0	2495
144	0	2495
146	0	2495
148	0	2495
150	0	2495
152	0	2495
154	0	2495
156	0	2495
158	0	2495
160	0	2495
162	0	2495
164	0	2495
166	0	2495
168	0	2495
170	0	2495
172	0	2495
174	0	2495
176	0	2495
178	0	2495
180	0	2495
182	0	2495
184	0	2495
186	0	2495
188	0	2495
190	0	2495
192	0	2495
194	0	2495
196	0	2495
198	0	2495
200	0	2495
202	0	2495
204	0	2495
206	0	2495
208	0	2495
210	0	2495
212	0	2495
214	0	2495
216	0	2495
218	0	2495
220	0	2495
222	0	2495
224	0	2495
226	0	2495
228	0	2495
230	0	2495
232	0	2495
234	0	2495
236	0	2495
238	0	2495
240	0	2495
242	0	2495
244	0	2495
246	0	2495
248	0	2495
250	0	2495
252	0	2495
254	0	2495
256	0	2495
258	0	2495
260	0	2495
262	0	2495
264	0	2495
266	0	2495
268	0	2495
270	0	2495
272	0	2495
274	0	2495
276	0	2495
278	0	2495
280	0	2495
282	0	2495
284	0	2495
286	0	2495
288	0	2495
290	0	2495
292	0	2495
294	0	2495
296	0	2495
298	0	2495
