time	gene0	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14
0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	79	2	0	0	0	0	0	0	0	0	0	0	0	0	0
6	77	6	0	0	0	0	0	0	0	0	0	0	0	0	0
8	76	7	2	0	0	0	0	0	0	0	0	0	0	0	0
10	74	11	2	0	0	0	0	0	0	0	0	0	0	0	0
12	74	11	2	0	0	0	0	0	0	0	0	0	0	0	0
14	74	11	2	0	0	0	0	0	0	0	0	0	0	0	0
16	73	13	2	0	0	0	0	0	0	0	0	0	0	0	0
18	69	21	2	0	0	0	0	0	0	0	0	0	0	0	0
20	67	25	2	0	0	0	0	0	0	0	0	0	0	0	0
22	64	30	4	0	0	0	0	0	0	0	0	0	0	0	0
24	58	41	6	0	0	0	0	0	0	0	0	0	0	0	0
26	57	40	12	0	0	0	0	0	0	0	0	0	0	0	0
28	56	39	18	0	0	0	0	0	0	0	0	0	0	0	0
30	53	43	22	0	0	0	0	0	0	0	0	0	0	0	0
32	46	55	26	0	0	0	0	0	0	0	0	0	0	0	0
34	42	60	32	0	0	0	0	0	0	0	0	0	0	0	0
36	39	62	39	2	0	0	0	0	0	0	0	0	0	0	0
38	35	64	50	4	0	0	0	0	0	0	0	0	0	0	0
40	31	68	56	8	0	0	0	0	0	0	0	0	0	0	0
42	30	66	60	16	0	0	0	0	0	0	0	0	0	0	0
44	29	68	58	20	0	0	0	0	0	0	0	0	0	0	0
46	26	71	59	29	0	0	0	0	0	0	0	0	0	0	0
48	24	71	63	35	4	0	0	0	0	0	0	0	0	0	0
50	21	69	75	42	6	0	0	0	0	0	0	0	0	0	0
52	17	73	76	51	10	0	0	0	0	0	0	0	0	0	0
54	14	70	88	61	12	0	0	0	0	0	0	0	0	0	0
56	13	66	96	66	18	0	0	0	0	0	0	0	0	0	0
58	11	67	95	77	20	0	0	0	0	0	0	0	0	0	0
60	9	63	109	79	20	2	0	0	0	0	0	0	0	0	0
62	8	60	108	96	25	3	0	0	0	0	0	0	0	0	0
64	8	55	112	105	29	3	0	0	0	0	0	0	0	0	0
66	6	54	111	116	44	5	0	0	0	0	0	0	0	0	0
68	5	50	113	131	53	4	0	0	0	0	0	0	0	0	0
70	5	48	108	134	75	6	0	0	0	0	0	0	0	0	0
72	5	41	108	155	86	8	0	0	0	0	0	0	0	0	0
74	5	37	110	156	97	14	0	0	0	0	0	0	0	0	0
76	4	34	109	170	106	16	0	0	0	0	0	0	0	0	0
78	3	32	113	164	125	20	2	0	0	0	0	0	0	0	0
80	2	30	114	164	140	29	4	0	0	0	0	0	0	0	0
