time	gene0	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11
0	40	0	0	0	0	0	0	0	0	0	0	0
2	38	4	0	0	0	0	0	0	0	0	0	0
4	34	12	0	0	0	0	0	0	0	0	0	0
6	30	20	0	0	0	0	0	0	0	0	0	0
8	27	21	10	0	0	0	0	0	0	0	0	0
10	20	32	14	4	0	0	0	0	0	0	0	0
12	17	34	18	12	0	0	0	0	0	0	0	0
14	12	36	32	12	8	0	0	0	0	0	0	0
16	10	33	42	14	17	6	0	0	0	0	0	0
18	6	33	47	36	14	10	4	0	0	0	0	0
20	1	35	54	47	26	12	8	0	0	0	0	0
22	1	23	61	76	32	17	12	0	0	0	0	0
24	1	17	62	84	55	21	13	4	0	0	0	0
26	1	10	59	90	99	35	20	5	2	0	0	0
28	1	6	45	105	131	73	31	8	4	0	0	0
30	0	7	31	117	136	124	49	12	3	0	0	0
32	0	5	30	95	160	188	70	14	3	0	0	0
34	0	4	21	95	168	217	118	17	3	0	0	0
36	0	3	14	81	185	246	171	29	5	0	0	0
38	0	3	10	64	190	278	216	51	5	0	0	0
40	0	2	5	50	194	327	270	64	5	0	0	0
42	0	1	3	39	184	352	316	81	9	0	0	0
44	0	0	5	26	154	373	365	120	13	0	0	0
46	0	0	3	20	121	393	397	145	16	0	0	0
48	0	0	1	20	95	370	431	179	23	0	0	0
50	0	0	0	11	89	326	465	214	40	4	0	0
52	0	0	0	6	69	310	467	255	53	2	0	0
54	0	0	0	3	52	271	480	273	58	2	0	0
56	0	0	0	2	34	231	463	286	61	4	0	0
58	0	0	0	2	24	174	442	278	77	3	0	0
60	0	0	0	1	19	145	378	305	73	10	0	0
62	0	0	0	0	12	113	353	293	76	14	0	0
64	0	0	0	0	6	90	306	285	77	15	0	0
66	0	0	0	0	2	72	266	256	78	17	0	0
68	0	0	0	0	2	53	223	213	75	20	0	0
70	0	0	0	0	2	35	168	192	78	21	0	0
72	0	0	0	0	0	26	123	163	74	23	0	0
74	0	0	0	0	0	19	97	136	57	25	0	0
76	0	0	0	0	0	13	77	109	54	24	0	0
78	0	0	0	0	0	7	61	97	49	18	0	0
80	0	0	0	0	0	7	41	76	44	14	0	0
82	0	0	0	0	0	7	34	61	47	15	0	0
84	0	0	0	0	0	5	23	46	38	12	0	0
86	0	0	0	0	0	2	14	31	31	13	0	0
88	0	0	0	0	0	1	9	22	27	11	0	0
90	0	0	0	0	0	1	5	16	15	9	0	0
92	0	0	0	0	0	1	3	14	14	7	0	0
94	0	0	0	0	0	1	2	9	13	7	0	0
96	0	0	0	0	0	0	2	6	9	3	0	0
98	0	0	0	0	0	0	0	3	6	3	0	0
100	0	0	0	0	0	0	0	2	6	2	0	0
102	0	0	0	0	0	0	0	1	5	2	0	0
104	0	0	0	0	0	0	0	0	3	2	0	0
106	0	0	0	0	0	0	0	0	3	2	0	0
108	0	0	0	0	0	0	0	0	2	0	0	0
110	0	0	0	0	0	0	0	0	1	0	0	0
112	0	0	0	0	0	0	0	0	0	0	0	0
114	0	0	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0	0	0
122	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	0	0	0	0	0	0	0	0	0	0
126	0	0	0	0	0	0	0	0	0	0	0	0
128	0	0	0	0	0	0	0	0	0	0	0	0
130	0	0	0	0	0	0	0	0	0	0	0	0
132	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0	0	0	0	0
142	0	0	0	0	0	0	0	0	0	0	0	0
144	0	0	0	0	0	0	0	0	0	0	0	0
146	0	0	0	0	0	0	0	0	0	0	0	0
148	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	0	0	0	0	0	0
152	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	0	0	0	0	0	0	0	0	0
158	0	0	0	0	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	0	0	0	0
164	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	0	0	0	0	0	0	0	0	0	0
168	0	0	0	0	0	0	0	0	0	0	0	0
170	0	0	0	0	0	0	0	0	0	0	0	0
172	0	0	0	0	0	0	0	0	0	0	0	0
174	0	0	0	0	0	0	0	0	0	0	0	0
176	0	0	0	0	0	0	0	0	0	0	0	0
178	0	0	0	0	0	0	0	0	0	0	0	0
180	0	0	0	0	0	0	0	0	0	0	0	0
182	0	0	0	0	0	0	0	0	0	0	0	0
184	0	0	0	0	0	0	0	0	0	0	0	0
186	0	0	0	0	0	0	0	0	0	0	0	0
188	0	0	0	0	0	0	0	0	0	0	0	0
190	0	0	0	0	0	0	0	0	0	0	0	0
192	0	0	0	0	0	0	0	0	0	0	0	0
194	0	0	0	0	0	0	0	0	0	0	0	0
196	0	0	0	0	0	0	0	0	0	0	0	0
198	0	0	0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0	0	0
202	0	0	0	0	0	0	0	0	0	0	0	0
