time	live	death
0	80	0
2	80	0
4	80	0
6	81	0
8	85	0
10	85	0
12	85	0
14	89	0
16	89	0
18	89	0
20	89	1
22	87	2
24	87	3
26	88	4
28	89	6
30	89	7
32	92	9
34	94	13
36	105	15
38	100	18
40	103	19
42	128	22
44	127	23
46	130	25
48	134	29
50	140	35
52	248	40
54	270	45
56	293	50
58	380	55
60	390	60
62	400	65
64	402	66
66	450	70
68	465	85
70	487	100
72	489	150
74	510	200
76	475	210
78	450	210
80	430	220
82	429	225
84	400	235
86	380	250
88	366	260
90	310	280
92	299	310
94	242	320
96	224	330
98	209	335
100	185	350
102	173	360
104	159	385
106	148	410
108	134	420
110	124	425
112	105	450
114	97	460
116	89	470
118	72	490
120	57	495
122	48	500
124	45	510
126	43	530
128	43	540
130	36	545
132	27	550
134	22	555
136	20	560
138	16	560
140	14	561
142	12	569
144	10	570
146	8	575
148	7	579
150	7	580
152	6	582
154	6	584
156	6	590
158	6	590
160	3	590
162	2	594
164	1	594
166	1	590
168	1	590
170	1	590
172	1	590
174	1	590
176	1	590
178	1	590
180	1	590
182	1	590
184	1	590
186	1	590
188	0	590
190	0	590
192	0	590
194	0	590
196	0	590
198	0	590
